                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.86913,                 0.4747,                 1.1026,                0.95097,                0.66421,                0.72046,                0.51985,                 1.3392,                 1.3304,                 1.4795,              0.0001816,              0.0001816,              0.0001816
                     64,                0.83103,                0.46245,                 1.0932,                0.88931,                0.69004,                0.76499,                0.53054,                 1.3558,                 1.0588,                 1.4466,              0.0001684,              0.0001684,              0.0001684
                     65,                0.83049,                0.45534,                 1.0924,                0.91039,                0.67483,                0.72537,                0.52188,                 1.3258,                   1.24,                 1.4347,              0.0001552,              0.0001552,              0.0001552
                     66,                0.81762,                0.37425,                 1.0676,                0.92727,                0.67159,                0.72816,                0.51115,                 1.3538,                  1.226,                  1.463,               0.000142,               0.000142,               0.000142
                     67,                0.78104,                0.35622,                 1.0611,                0.91757,                0.67159,                0.73402,                0.52913,                 1.3151,                  1.128,                 1.4468,              0.0001288,              0.0001288,              0.0001288
                     68,                0.79066,                0.36008,                 1.0552,                0.90845,                0.67528,                0.73353,                0.53135,                 1.3316,                 1.1899,                 1.4454,              0.0001156,              0.0001156,              0.0001156
                     69,                0.77007,                0.35321,                 1.0424,                0.92829,                0.65683,                 0.7289,                0.52509,                 1.3229,                 1.1813,                  1.435,              0.0001024,              0.0001024,              0.0001024
                     70,                0.77695,                0.34646,                 1.0448,                0.92647,                0.66421,                0.74063,                0.53428,                 1.3342,                  1.212,                 1.4417,               8.92e-05,               8.92e-05,               8.92e-05
                     71,                0.75097,                0.34255,                 1.0369,                0.93612,                0.66421,                0.74824,                0.54389,                 1.3204,                 1.1751,                 1.4349,                7.6e-05,                7.6e-05,                7.6e-05
                     72,                0.75248,                0.33753,                 1.0254,                0.94501,                0.66421,                0.75179,                0.54813,                 1.3127,                 1.2071,                 1.4147,               6.28e-05,               6.28e-05,               6.28e-05
                     73,                0.74829,                0.33032,                 1.0334,                0.93793,                0.66421,                0.74948,                0.54858,                 1.3045,                 1.2072,                 1.4036,               4.96e-05,               4.96e-05,               4.96e-05
                     74,                0.72584,                0.33202,                 1.0177,                 0.9411,                0.66421,                0.75223,                0.54822,                 1.3052,                 1.2158,                 1.4016,               3.64e-05,               3.64e-05,               3.64e-05
                     75,                 0.7333,                 0.3306,                  1.014,                0.94124,                0.66421,                0.75856,                0.55621,                 1.3042,                 1.2296,                 1.4026,               2.32e-05,               2.32e-05,               2.32e-05
